iter	Passed	Remaining
0	2	260
1	4	219
2	5	192
3	7	171
4	8	166
5	10	165
6	12	161
7	13	157
8	15	153
9	16	149
10	17	144
11	19	140
12	20	137
13	21	134
14	22	129
15	23	122
16	23	116
17	24	111
18	25	106
19	25	102
20	26	98
21	26	94
22	27	90
23	27	87
24	28	84
25	28	81
26	29	79
27	29	76
28	30	74
29	30	71
30	31	69
31	31	67
32	32	65
33	32	63
34	33	62
35	34	60
36	34	59
37	35	57
38	35	56
39	36	54
40	37	53
41	37	51
42	37	50
43	38	48
44	38	47
45	39	46
46	40	45
47	40	43
48	41	42
49	41	41
50	42	40
51	42	39
52	43	38
53	43	37
54	43	35
55	44	34
56	45	33
57	45	33
58	46	32
59	46	31
60	47	30
61	47	29
62	48	28
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	51	23
69	52	22
70	52	21
71	53	20
72	53	19
73	54	19
74	54	18
75	55	17
76	56	16
77	56	15
78	57	15
79	57	14
80	58	13
81	58	12
82	59	12
83	59	11
84	60	10
85	60	9
86	61	9
87	61	8
88	62	7
89	62	6
90	63	6
91	63	5
92	64	4
93	64	4
94	65	3
95	65	2
96	66	2
97	66	1
98	67	0
99	67	0
